@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute '' numeric

@data
1,'2024/04/07 20:53:52:740',1,0.374499,0.381505,0.390642,0.414114,0.453125,0.496496,0.539057,0.580223,0.617135,0.647586,0.677891,0.704106,0.718871,0.72411,0.724905,0.725138,0.414395,0.442522,0.479279,0.519625,0.555706,0.613313,0.640568,0.672774,0.699599,0.715801,0.588024,0.591316,0.595683,0.599752,0.551989,0.572052,0.593605,0.610867,0.625916,0.465526,0.487708,0.508664,0.529704,0.509316,0.488061,0.627,0.648034,0.667022,0.68405,0.66728,0.648285,0.493744,0.53223,0.569572,0.58953,0.609749,0.635125,0.658686,0.635066,0.609836,0.588373,0.566706,0.530103,0.50345,0.568938,0.589087,0.609411,0.648873,0.609444,0.588945,1
2,'2024/04/07 20:53:52:775',1,0.370012,0.37615,0.385737,0.411364,0.45278,0.499237,0.542458,0.582061,0.618339,0.648831,0.678824,0.705974,0.722261,0.729495,0.730894,0.730277,0.417303,0.445367,0.482253,0.522386,0.557033,0.61264,0.640611,0.672669,0.699814,0.715792,0.588117,0.591893,0.596606,0.601044,0.551113,0.571814,0.593766,0.61174,0.627378,0.467928,0.490331,0.510381,0.529482,0.510589,0.490531,0.625325,0.646761,0.664877,0.681846,0.665083,0.647021,0.495663,0.534021,0.570242,0.589372,0.608883,0.633459,0.65705,0.633846,0.609608,0.589082,0.568469,0.533108,0.505896,0.569462,0.588832,0.608235,0.64779,0.608987,0.589226,1
3,'2024/04/07 20:53:52:805',1,0.372454,0.379744,0.389717,0.41344,0.453473,0.498507,0.541145,0.583605,0.622118,0.65248,0.682777,0.708127,0.723272,0.729072,0.730187,0.729915,0.417744,0.445873,0.482688,0.52244,0.557337,0.611898,0.640218,0.671755,0.69839,0.716245,0.58822,0.592039,0.596698,0.601143,0.551881,0.572594,0.594558,0.612431,0.628018,0.466955,0.489939,0.510532,0.53022,0.510764,0.49009,0.626046,0.646357,0.664978,0.681929,0.665429,0.646972,0.497075,0.535675,0.571842,0.59102,0.609796,0.634464,0.658565,0.635249,0.610902,0.590791,0.570355,0.534799,0.506475,0.571143,0.590461,0.609441,0.649912,0.610123,0.590887,1
4,'2024/04/07 20:53:52:839',1,0.373492,0.380158,0.390007,0.413421,0.452553,0.495628,0.539128,0.579997,0.617682,0.647653,0.676671,0.70253,0.718329,0.725682,0.726879,0.728264,0.41748,0.447002,0.484645,0.524581,0.558693,0.610021,0.637256,0.669571,0.697113,0.714469,0.587803,0.591311,0.595682,0.59975,0.549256,0.570794,0.593238,0.611241,0.626513,0.466058,0.489414,0.509609,0.528987,0.509702,0.48899,0.623654,0.645058,0.663316,0.680414,0.662914,0.644789,0.492648,0.530283,0.567527,0.588133,0.609586,0.634409,0.656748,0.634137,0.609202,0.586464,0.563954,0.527729,0.502317,0.566578,0.587514,0.60895,0.647242,0.608797,0.586858,1
5,'2024/04/07 20:53:52:872',1,0.370095,0.378525,0.388338,0.411757,0.4517,0.495536,0.537909,0.579841,0.617864,0.647868,0.677614,0.704153,0.719046,0.724633,0.72568,0.726202,0.415457,0.44422,0.481037,0.521182,0.557531,0.613719,0.641602,0.672469,0.698526,0.714132,0.588689,0.592802,0.597655,0.60226,0.550824,0.572797,0.595615,0.614078,0.629632,0.465807,0.489244,0.50978,0.529604,0.509591,0.488748,0.626234,0.64691,0.66508,0.681667,0.664787,0.646975,0.492377,0.530669,0.569544,0.590919,0.612056,0.638209,0.6594,0.63822,0.6123,0.589666,0.567001,0.529077,0.502304,0.56841,0.590194,0.611306,0.649616,0.612193,0.590581,1
6,'2024/04/07 20:53:52:901',1,0.373193,0.38079,0.39083,0.415121,0.455216,0.498343,0.538242,0.578928,0.61674,0.64721,0.677594,0.704071,0.720548,0.727942,0.729316,0.729949,0.416838,0.44456,0.481137,0.521308,0.556568,0.611536,0.639322,0.67086,0.697563,0.713876,0.586735,0.589865,0.593609,0.597052,0.547241,0.568651,0.591281,0.609889,0.62558,0.468019,0.490753,0.510751,0.529642,0.510854,0.490366,0.624159,0.644883,0.662893,0.679557,0.662552,0.644851,0.492073,0.528639,0.566396,0.587604,0.609539,0.636424,0.658787,0.636676,0.610181,0.586913,0.564235,0.527626,0.501589,0.565364,0.586973,0.608692,0.649112,0.609894,0.587761,1
7,'2024/04/07 20:53:52:935',1,0.370225,0.378254,0.387282,0.410201,0.449674,0.494389,0.537985,0.580576,0.619058,0.650378,0.680748,0.705894,0.720785,0.726631,0.72728,0.726875,0.413451,0.442191,0.479001,0.519325,0.554367,0.609959,0.638114,0.670139,0.696344,0.713651,0.585534,0.589499,0.594091,0.598573,0.5475,0.569197,0.591989,0.61044,0.626189,0.464103,0.487659,0.50798,0.527558,0.508362,0.487637,0.624074,0.645262,0.66346,0.680801,0.66306,0.645017,0.491562,0.52926,0.567371,0.587894,0.609652,0.636083,0.658114,0.636988,0.61065,0.587969,0.565701,0.528843,0.500899,0.566231,0.587147,0.608818,0.648836,0.610212,0.588338,1
8,'2024/04/07 20:53:52:968',1,0.371715,0.379621,0.389176,0.413023,0.453022,0.497376,0.540123,0.582848,0.619802,0.648865,0.67804,0.702734,0.71693,0.722571,0.723693,0.723186,0.416338,0.444746,0.480797,0.518956,0.553841,0.611978,0.638658,0.668568,0.694668,0.712191,0.585789,0.589849,0.59444,0.598951,0.550416,0.57109,0.593079,0.610986,0.625946,0.465803,0.489061,0.509522,0.528925,0.509311,0.488588,0.621717,0.642682,0.660983,0.677966,0.661254,0.642911,0.491164,0.53001,0.568859,0.589737,0.611156,0.637929,0.659368,0.639139,0.612615,0.589558,0.566604,0.528723,0.50135,0.567883,0.589182,0.610618,0.649323,0.611697,0.589891,1
9,'2024/04/07 20:53:53:001',1,0.370848,0.378983,0.389297,0.414344,0.45466,0.498683,0.539685,0.580874,0.617473,0.647807,0.678627,0.706111,0.722305,0.728672,0.728699,0.728176,0.413458,0.441348,0.47872,0.51872,0.552918,0.608005,0.63575,0.66804,0.695728,0.713021,0.584026,0.587641,0.591824,0.595879,0.546851,0.56785,0.590921,0.609175,0.624722,0.462026,0.484429,0.504597,0.524602,0.505296,0.484341,0.623549,0.643566,0.661926,0.679245,0.662913,0.644469,0.49032,0.527588,0.565632,0.586881,0.60846,0.636494,0.65902,0.637277,0.610306,0.587142,0.564145,0.52681,0.500705,0.565113,0.586434,0.60806,0.649368,0.609066,0.586993,1
10,'2024/04/07 20:53:53:034',1,0.372097,0.379713,0.390357,0.415712,0.456291,0.500033,0.540322,0.581438,0.61775,0.646568,0.676016,0.702286,0.718208,0.725326,0.726809,0.727159,0.41456,0.443411,0.479346,0.518332,0.55187,0.609136,0.63686,0.667462,0.694247,0.711886,0.583803,0.587444,0.59163,0.595582,0.546588,0.567922,0.590338,0.608003,0.623198,0.462509,0.485121,0.504936,0.523942,0.505025,0.485099,0.622465,0.64196,0.660535,0.678297,0.660772,0.642778,0.491141,0.5278,0.565475,0.586131,0.607845,0.634247,0.657015,0.634955,0.609329,0.586261,0.563598,0.526985,0.500942,0.564689,0.58563,0.607143,0.647349,0.608376,0.586341,1
